18 08 2017, 8.53, 30.06
19 08 2017, 89.23, 34.61
20 08 2017, 38.36, 28.16
21 08 2017, 24.97, 15.51
22 08 2017, 0.66, 16.22
23 08 2017, 0.00, 12.19
24 08 2017, 0.00, 17.04
25 08 2017, 45.95, 31.09
26 08 2017, 601.56, 27.85
27 08 2017, 1951.80, 35.76
28 08 2017, 0.00, 19.76
29 08 2017, 23.76, 17.49
30 08 2017, 0.00, 17.48
31 08 2017, 0.00, 18.45
01 09 2017, 0.00, 27.72
02 09 2017, 0.00, 24.94
03 09 2017, 45.20, 27.58
04 09 2017, 56.85, 18.06
05 09 2017, 14.35, 19.25
06 09 2017, 37.36, 24.89
07 09 2017, 0.19, 25.76
08 09 2017, 0.00, 20.23
09 09 2017, 0.00, 28.22
10 09 2017, 40.08, 27.36
11 09 2017, 250.09, 35.87
12 09 2017, 0.00, 33.20
13 09 2017, 15.17, 18.11
14 09 2017, 9.86, 23.13
15 09 2017, 0.00, 22.89
16 09 2017, 0.00, 26.26
17 09 2017, 68.12, 30.14
18 09 2017, 46.86, 19.76
19 09 2017, 0.00, 26.07
20 09 2017, 79.82, 20.38
21 09 2017, 0.00, 24.91
22 09 2017, 13.25, 18.70
23 09 2017, 0.03, 20.31
24 09 2017, 0.00, 20.45
25 09 2017, 29.33, 19.36
26 09 2017, 18.71, 24.14
27 09 2017, 0.00, 19.98
28 09 2017, 1.58, 19.88
29 09 2017, 0.47, 13.89
30 09 2017, 0.00, 10.03
01 10 2017, 0.00, 9.62
02 10 2017, 0.00, 10.44
04 10 2017, 28.28, 15.31
05 10 2017, 0.00, 25.29
06 10 2017, 0.00, 9.49
07 10 2017, 18.52, 12.35
08 10 2017, 6.93, 21.24
09 10 2017, 0.00, 7.53
10 10 2017, 11.50, 18.94
11 10 2017, 4.13, 24.10
12 10 2017, 0.00, 18.01
13 10 2017, 0.00, 18.04
14 10 2017, 0.00, 16.59
15 10 2017, 0.00, 27.00
16 10 2017, 0.00, 20.27
17 10 2017, 0.00, 17.33
18 10 2017, 0.00, 19.44
19 10 2017, 0.00, 14.96
20 10 2017, 0.00, 12.81
21 10 2017, 0.00, 24.40
22 10 2017, 0.00, 24.44
23 10 2017, 1.01, 20.66
24 10 2017, 0.00, 15.75
25 10 2017, 0.00, 18.34
26 10 2017, 0.00, 16.35
27 10 2017, 0.00, 21.63
28 10 2017, 40.89, 18.63
29 10 2017, 0.00, 14.36
30 10 2017, 30.85, 6.57
31 10 2017, 18.53, 11.07
01 11 2017, 0.00, 14.09
02 11 2017, 0.00, 19.05
03 11 2017, 57.65, 14.44
04 11 2017, 0.00, 10.43
05 11 2017, 0.00, 19.57
06 11 2017, 0.00, 11.80
07 11 2017, 0.00, 14.52
08 11 2017, 0.00, 20.11
09 11 2017, 7.26, 17.66
10 11 2017, 0.06, 13.49
11 11 2017, 0.00, 11.90
12 11 2017, 0.00, 17.69
13 11 2017, 0.00, 18.29
14 11 2017, 0.00, 12.46
15 11 2017, 0.00, 6.51
16 11 2017, 0.00, 18.13
17 11 2017, 0.00, 19.12
18 11 2017, 0.00, 14.54
19 11 2017, 0.00, 11.02
20 11 2017, 5.30, 6.30
21 11 2017, 0.26, 15.97
22 11 2017, 0.00, 11.24
23 11 2017, 0.00, 9.51
24 11 2017, 0.00, 13.33
25 11 2017, 0.00, 13.46
26 11 2017, 2.17, 15.90
27 11 2017, 0.00, 5.55
28 11 2017, 0.00, 11.27
29 11 2017, 0.00, 12.12
30 11 2017, 0.00, 12.40
01 12 2017, 0.00, 6.94
